0.00.084.841 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.353.704 W srv  llama_server: -----------------
0.00.353.709 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.353.709 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.353.710 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.353.711 W srv  llama_server: -----------------
0.00.355.201 I srv    load_model: loading model '/root/models/gguf/Qwen3.8-27B-UD-Q3_K_XL.gguf'
0.01.487.542 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.487.551 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.487.561 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.487.564 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.487.568 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.487.734 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.487.748 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.487.754 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.487.760 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.487.765 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.487.769 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.487.777 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.487.781 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.487.784 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.487.795 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.03.462.155 I cmn          init: llama threadpool init, n_threads = 48
0.03.553.649 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.658.203 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.03.664.355 I srv  llama_server: model loaded
0.03.664.364 I srv  llama_server: listening on http://127.0.0.1:8081
0.04.100.751 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.101.236 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.07.565.661 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.06, t =   3.46 s / 1182.32 tokens per second
0.09.369.213 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.10, t =   5.27 s / 1166.31 tokens per second
0.11.204.186 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.13, t =   7.10 s / 1153.33 tokens per second
0.13.073.252 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.16, t =   8.97 s / 1141.33 tokens per second
0.14.976.408 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.19, t =  10.88 s / 1129.92 tokens per second
0.16.916.592 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.22, t =  12.82 s / 1118.66 tokens per second
0.18.892.313 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.26, t =  14.79 s / 1107.70 tokens per second
0.20.901.290 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.29, t =  16.80 s / 1097.14 tokens per second
0.22.943.134 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.32, t =  18.84 s / 1086.94 tokens per second
0.25.013.815 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.35, t =  20.91 s / 1077.25 tokens per second
0.27.121.831 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.38, t =  23.02 s / 1067.57 tokens per second
0.29.265.967 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.42, t =  25.16 s / 1057.99 tokens per second
0.31.441.712 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28672, progress = 0.45, t =  27.34 s / 1048.70 tokens per second
0.33.651.734 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30720, progress = 0.48, t =  29.55 s / 1039.58 tokens per second
0.35.894.113 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32768, progress = 0.51, t =  31.79 s / 1030.67 tokens per second
0.38.166.467 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34816, progress = 0.54, t =  34.07 s / 1022.04 tokens per second
